distribution,mu,sigma,tau,mean,variance,log_likelihood,aic,bic,n_params,ad,position,mean_input,window_start,window_end,a,d,scale,alpha,loc,beta,actual_mean,actual_variance,c,shift
weibull,,,,8.010075015727496,40.59940381694558,-17478.404733896765,34960.80946779353,34974.11954830975,2,34.3950252555187,RB,8.0,6.5,9.5,,,8.588635622433564,,,,,,1.2462868953256492,
gamma,,,,8.211802929218285,38.54650384646269,-27812.299190838872,55628.598381677744,55642.85034172446,2,281.5439220131939,WR,8.0,6.5,9.5,,,4.694036641979191,1.7494117655110304,,0.21303625776094506,8.211802929218285,37.71970024201126,,
gamma,,,,7.6211221635441095,32.00494505385018,-11902.991576425764,23809.983152851528,23822.594120886984,2,76.52671535511672,TE,8.0,6.5,9.5,,,4.199505580286705,1.8147665285454404,,0.23812326972351083,7.621122163544109,30.596794321372787,,
gamma,,,,7.963759213759213,20.726548996225716,-22926.550328274665,45857.10065654933,45871.10974746732,2,67.82557842060669,K,8.0,6.5,9.5,,,2.602608697713496,3.0599141625691635,,0.38422986939163895,7.9637592137592135,17.3005293572554,,
skew_normal,,,,7.389408649602824,38.66318879417055,-18042.729919403137,36091.45983880627,36111.38602532666,3,8.799707261330695,DST,8.0,6.5,9.5,,,9.67467785360505,3.640753322816013,-0.02247322181907381,,,,,
skew_normal,,,,10.078669271730229,56.20512355031756,-3272.3218376301384,6550.643675260277,6565.297135216405,3,9.30671209797913,QB,8.5,7.0,10.0,,,13.312735308394394,21.912396641836388,-0.9224165613717257,,,,,
generalized_gamma,,,,8.319143002537848,42.48186654646171,-17168.259638652504,34342.51927730501,34362.39849613418,3,30.19444460145587,RB,8.5,7.0,10.0,1.459733135038369,0.7934753657418175,11.006817596807586,,,,,,,
gamma,,,,8.666428493322824,41.75406521835479,-27255.452483264486,54514.90496652897,54529.08582667958,2,190.5999829293687,WR,8.5,7.0,10.0,,,4.817909159525729,1.7987944991009213,,0.207558915473292,8.666428493322824,39.630710167925834,,
gamma,,,,8.101194601608926,34.810478001115065,-10722.993172583223,21449.986345166446,21462.354256601055,2,54.211013485363765,TE,8.5,7.0,10.0,,,4.296956154367849,1.8853333174866294,,0.23272287732875785,8.101194601608926,32.942660733357286,,
gamma,,,,8.067942460827126,20.88568888137152,-21977.292753475333,43958.585506950665,43972.505672007006,2,63.31420472336504,K,8.5,7.0,10.0,,,2.588725562035097,3.1165692413083006,,0.38629046456892924,8.067942460827126,17.475347860033708,,
skew_normal,,,,7.500920057248006,39.575290504956534,-15629.30561073092,31264.61122146184,31284.096677643458,3,7.170112804686141,DST,8.5,7.0,10.0,,,9.815462324218899,3.7248860309676712,-0.03355390422053159,,,,,
skew_normal,,,,10.599982477296953,53.74078840515818,-3871.124613343706,7748.249226687412,7763.391778351484,3,17.26977014620661,QB,9.0,7.5,10.5,,,13.512996752364156,20.946952368183823,-0.7516766735470937,,,,,
generalized_gamma,,,,8.653354875357115,43.346183966076666,-16427.676386967672,32861.352773935345,32881.070657630255,3,18.122419359696323,RB,9.0,7.5,10.5,1.569269050467558,0.7398525037569259,12.06834957943617,,,,,,,
generalized_gamma,,,,9.111972033499283,42.31699088931419,-26225.13517154767,52456.27034309534,52477.38294331799,3,131.19959463689702,WR,9.0,7.5,10.5,1.2030821089922559,1.3473599681662591,7.458864060210233,,,,,,,
weibull,,,,8.423111328581431,34.377281714617624,-9494.832912778984,18993.665825557968,19005.76786997435,2,32.77856533559043,TE,9.0,7.5,10.5,,,9.329495264383178,,,,,,1.4775045554137773,
gamma,,,,8.260647103085025,21.21561884899338,-18834.39256323171,37672.78512646342,37686.388366405714,2,56.390238488641444,K,9.0,7.5,10.5,,,2.568275654950831,3.2164176330375924,,0.3893663042252934,8.260647103085025,17.59587046161877,,
skew_normal,,,,7.5399296835760925,40.62610526878739,-12748.383002767358,25502.766005534715,25521.634623988586,3,6.287380202239547,DST,9.0,7.5,10.5,,,9.97524900034224,3.950622119746027,-0.13340940455167047,,,,,
skew_normal,,,,10.755229364287324,53.27236501460461,-4501.3993375930795,9008.798675186159,9024.3752213623,3,6.702772825508873,QB,9.5,8.0,11.0,,,11.28656526824745,2.855523112338262,2.1462692894368227,,,,,
generalized_gamma,,,,9.207230263008249,45.863848656485985,-15912.633917287929,31831.267834575858,31850.843318659056,3,15.60668233290744,RB,9.5,8.0,11.0,1.6661158138980787,0.7116812364598467,13.156376699435697,,,,,,,
generalized_gamma,,,,9.51085802048516,43.94321217207262,-25078.86616337691,50163.73232675382,50184.67925645109,3,101.07116964708621,WR,9.5,8.0,11.0,1.29278695308813,1.2390527692575828,8.599007769852443,,,,,,,
weibull,,,,8.834552375847814,37.49714646912379,-8166.618398276896,16337.236796553792,16349.007455032339,2,17.79518659809628,TE,9.5,8.0,11.0,,,9.792206719632247,,,,,,1.4838298939967078,
gamma,,,,8.295338743159087,21.464734967725413,-15048.155080523124,30100.310161046247,30113.460707851234,2,42.17703669066941,K,9.5,8.0,11.0,,,2.5875658164564674,3.205846471769792,,0.38646359974311545,8.295338743159087,17.982788236828842,,
skew_normal,,,,7.681598453109894,41.392658482653104,-9974.022285341744,19954.044570683487,19972.16494467683,3,4.361494420784766,DST,9.5,8.0,11.0,,,10.101322669159886,3.9507992983942204,-0.10582610792024133,,,,,
skew_normal,,,,10.995749367878764,53.12788387453565,-5087.591490227507,10181.182980455014,10197.124640949914,3,6.500755625559123,QB,10.0,8.5,11.5,,,11.041936941707984,2.5533318311134616,2.7013843128015873,,,,,
generalized_gamma,,,,9.683266173235005,46.90561245649076,-15495.647424359531,30997.294848719062,31016.75875971728,3,9.269774441413574,RB,10.0,8.5,11.5,1.785074898945414,0.6801152886107531,14.174807560215907,,,,,,,
weibull,,,,9.969010674398609,46.60748277573603,-24113.372012885044,48230.74402577009,48244.60527870843,2,72.55412603633704,WR,10.0,8.5,11.5,,,11.05330865670512,,,,,,1.4963761714148403,
weibull,,,,9.402666164765034,39.31903986406572,-7041.803941592195,14087.60788318439,14099.052352673809,2,9.106849959536248,TE,10.0,8.5,11.5,,,10.455419687771794,,,,,,1.5356901255587982,
gamma,,,,8.438577586206897,22.066476947738526,-10595.637005850189,21195.274011700378,21207.71266388819,2,29.457345304715545,K,10.0,8.5,11.5,,,2.614952190971951,3.227048515586958,,0.38241616938637424,8.438577586206897,18.306572114670033,,
skew_normal,,,,7.830613145125716,41.08555599811569,-7293.545080602685,14593.09016120537,14610.268799156893,3,3.265015511324691,DST,10.0,8.5,11.5,,,10.016308498749927,3.6982243163733948,0.13376751043374505,,,,,
skew_normal,,,,11.340199272579287,52.9495022443248,-5779.835066087207,11565.670132174415,11581.994093343568,3,5.697488193767867,QB,10.5,9.0,12.0,,,10.711811983214417,2.233453141064598,3.4793336405007356,,,,,
generalized_gamma,,,,10.154392801680913,48.9977520338365,-14812.757185346349,29631.514370692697,29650.811889842444,3,5.2787724730933405,RB,10.5,9.0,12.0,1.7592945209523527,0.7315736620192654,14.140132082292155,,,,,,,
weibull,,,,10.512393261299568,48.09919618725646,-23381.269287842882,46766.538575685765,46780.31719232545,2,52.87081805723665,WR,10.5,9.0,12.0,,,11.701089689918959,,,,,,1.5547812619388393,
weibull,,,,9.624942498505895,40.15164526693853,-5982.969657639583,11969.939315279165,11981.049032321247,2,4.804050546218377,TE,10.5,9.0,12.0,,,10.725271980388253,,,,,,1.562272975187542,
gamma,,,,8.67956469165659,22.966092789890492,-7136.227552266471,14276.455104532943,14288.087938500326,2,20.58461278074128,K,10.5,9.0,12.0,,,2.6459959232710277,3.2802638187464614,,0.3779295316388024,8.67956469165659,18.95536232562152,,
shifted_gamma,,,,8.040876777251185,42.63043809382089,-5425.935557242427,10857.871114484855,10874.138235587816,3,10.346652755916466,DST,10.5,9.0,12.0,,,,2.4316793831569745,,0.21617167524943115,,,,-3.1
skew_normal,,,,11.669797042308224,52.046038968165675,-6516.6951154895905,13039.390230979181,13056.075156215948,3,5.596524674552484,QB,11.0,9.5,12.5,,,9.814759255401183,1.5916353856041017,5.015211026302936,,,,,
generalized_gamma,,,,10.721854028502548,52.1284685452916,-14137.748315153493,28281.496630306985,28300.613826126522,3,4.018430055913996,RB,11.0,9.5,12.5,1.8553724250482526,0.696927421041985,15.341026301534834,,,,,,,
weibull,,,,10.78250588327431,49.05227996250127,-22409.51657755951,44823.03315511902,44836.71749721624,2,33.36305997840918,WR,11.0,9.5,12.5,,,12.024191255906233,,,,,,1.5835087814512236,
weibull,,,,9.973802211937247,42.398748558763636,-5080.817482239268,10165.634964478537,10176.399213210012,2,4.420880000336183,TE,11.0,9.5,12.5,,,11.128804286555877,,,,,,1.5797787046507998,
gamma,,,,8.669193659545142,23.24815692873159,-4179.9273735322595,8363.854747064519,8374.414763570287,2,10.94232222548544,K,11.0,9.5,12.5,,,2.6816977266547046,3.232725886060084,,0.3728981048313205,8.669193659545142,19.255143319491154,,
shifted_gamma,,,,8.54,46.641443478260875,-3758.817916342912,7523.635832685824,7538.757441856473,3,6.303300559968875,DST,11.0,9.5,12.5,,,,2.384504164403598,,0.2033198754404406,,,,-3.1
skew_normal,,,,11.914215486939723,52.307293229856974,-7327.579895158906,14661.159790317812,14678.194769387332,3,5.099760936345319,QB,11.5,10.0,13.0,,,9.838409212824018,1.5938593308318132,5.244350969993423,,,,,
generalized_gamma,,,,11.319848724835813,53.619916604913136,-13513.500917068948,27033.001834137896,27051.954400126757,3,2.7815066500033936,RB,11.5,10.0,13.0,1.9270895113601876,0.7050157907386928,15.987336651994031,,,,,,,
weibull,,,,11.096710924382222,51.90310077133564,-20709.771577947657,41423.54315589531,41437.05305480551,2,27.17111175910577,WR,11.5,10.0,13.0,,,12.380033963394794,,,,,,1.5871796444338786,
weibull,,,,10.319549311195926,44.65950518106278,-4252.175563146429,8508.351126292859,8518.73849792965,2,2.6306679861827433,TE,11.5,10.0,13.0,,,11.50953855873284,,,,,,1.5851870076729637,
gamma,,,,8.82882882882883,23.315709290940116,-2242.513316691359,4489.026633382718,4498.337514083453,2,5.651393996369961,K,11.5,10.0,13.0,,,2.6408609503003606,3.343163080140465,,0.3786643896893792,8.82882882882883,19.36967082913029,,
skew_normal,,,,9.113607990012484,49.92841657042305,-2661.287928638945,5328.57585727789,5342.633440119094,3,1.1602361365706884,DST,11.5,10.0,13.0,,,11.25069286248355,3.9672375415031613,0.3586384571591175,,,,,
skew_normal,,,,12.041134833982046,52.16730442499293,-7879.385070164827,15764.770140329654,15782.02585632889,3,4.360923597808778,QB,12.0,10.5,13.5,,,9.933369199193017,1.6727692091451676,5.2216774503161005,,,,,
generalized_gamma,,,,11.854275171099742,54.86784370384264,-13348.19602021642,26702.39204043284,26721.28467102091,3,2.0250303990023895,RB,12.0,10.5,13.5,2.0098028700100348,0.7025972402520366,16.68480153530122,,,,,,,
weibull,,,,11.524984514569958,54.57232058595932,-19017.808900635922,38039.617801271845,38052.93865599085,2,16.35812236617312,WR,12.0,10.5,13.5,,,12.874910534981778,,,,,,1.6090202033046204,
weibull,,,,10.550534038373787,45.354617649217346,-3540.1162152149745,7084.232430429949,7094.247631657853,2,2.071189273006894,TE,12.0,10.5,13.5,,,11.800477047440614,,,,,,1.6203223188469997,
